danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
0,0.335,0.904,4,-4.221,0,0.0733,0.0011,0.304,0.134,0.503,179.992,207213,4,1
1,0.523,0.846,7,-6.284,1,0.0442,0.000176,0.0246,0.129,0.335,149.903,211987,4,1
2,0.612,0.199,0,-12.184,1,0.0343,0.955,0.0,0.101,0.556,111.471,146736,4,1
3,0.466,0.763,11,-7.748,0,0.0391,0.0542,0.0,0.119,0.473,123.539,204800,4,1
4,0.421,0.829,6,-8.605,0,0.0387,0.171,0.0,0.0835,0.935,124.87,184333,4,1
5,0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,184627,4,1
6,0.343,0.718,9,-7.632,0,0.0918,0.0585,3.49e-05,0.157,0.452,77.772,232040,4,1
7,0.71,0.617,7,-8.059,1,0.0446,0.174,0.0218,0.118,0.096,137.66,316387,4,1
8,0.589,0.603,4,-9.426,0,0.0295,0.41,0.000388,0.0761,0.534,120.052,263400,4,1
9,0.728,0.942,6,-4.036,0,0.0885,0.00423,3.24e-06,0.146,0.785,132.99,224667,4,1
10,0.842,0.821,1,-9.86,1,0.163,0.0413,0.00249,0.346,0.594,101.986,202160,4,1
11,0.716,0.58,10,-12.747,0,0.239,0.0694,6.71e-06,0.906,0.707,99.077,279640,4,1
12,0.75,0.655,11,-8.334,0,0.312,0.00372,2.23e-06,0.4,0.869,80.006,192240,4,1
13,0.808,0.557,4,-15.682,0,0.082,0.0993,1.59e-05,0.0749,0.834,165.999,183107,4,1
14,0.57,0.518,9,-9.804,1,0.0283,0.000597,8.23e-05,0.24,0.422,111.722,151979,4,1
15,0.635,0.685,1,-6.292,1,0.0309,0.182,1.32e-06,0.105,0.67,107.046,215653,4,1
16,0.435,0.858,2,-6.923,1,0.0586,0.352,0.469,0.716,0.64,86.262,112413,4,1
17,0.522,0.797,0,-5.534,1,0.0532,0.331,0.0,0.444,0.489,119.767,218003,4,1
18,0.563,0.51,9,-6.751,1,0.0283,0.677,3.8e-06,0.305,0.501,97.467,204307,4,1
19,0.487,0.763,1,-5.331,0,0.03,0.0203,0.37,0.343,0.716,155.667,206354,4,1
20,0.625,0.645,9,-5.959,1,0.0278,0.54,0.0776,0.347,0.685,106.996,187572,4,1
21,0.565,0.438,7,-8.722,1,0.0311,0.122,0.0469,0.108,0.211,133.949,361760,4,1
22,0.184,0.905,11,-4.223,0,0.128,0.14,0.898,0.212,0.382,74.631,239273,4,1
23,0.395,0.704,5,-8.485,1,0.0405,0.246,0.392,0.101,0.345,136.199,214068,4,1
24,0.604,0.789,5,-6.259,1,0.0273,0.0011,0.828,0.368,0.348,122.032,275227,4,1
25,0.249,0.788,9,-8.745,1,0.0378,0.00106,0.00109,0.112,0.813,179.695,172600,4,1
26,0.593,0.436,2,-9.212,1,0.0284,0.281,0.000892,0.0999,0.692,147.65,170654,4,1
27,0.296,0.494,6,-10.49,1,0.037,0.0721,0.0507,0.108,0.175,163.669,239598,3,1
28,0.789,0.283,0,-11.679,1,0.0354,0.629,0.0134,0.097,0.406,77.576,215880,4,1
29,0.762,0.468,10,-7.969,1,0.0464,0.934,0.102,0.115,0.347,119.88,168206,4,1
30,0.774,0.503,10,-9.82,1,0.0767,0.942,0.01,0.112,0.84,114.462,251533,4,1
31,0.559,0.491,0,-8.346,1,0.0533,0.585,0.000132,0.0777,0.392,86.059,286333,4,1
32,0.343,0.607,0,-5.048,1,0.0357,0.632,0.00808,0.0824,0.599,155.579,213173,3,1
33,0.229,0.456,3,-9.566,1,0.0354,0.127,0.162,0.097,0.271,199.935,278413,3,1
34,0.648,0.436,8,-9.578,1,0.0275,0.0232,0.0,0.0944,0.333,107.019,224267,4,1
35,0.551,0.779,1,-8.395,0,0.0532,0.413,0.000834,0.0624,0.549,104.689,143427,4,1
36,0.379,0.692,4,-3.818,1,0.0617,0.0888,0.0354,0.0904,0.632,130.677,239363,4,1
37,0.355,0.623,7,-6.137,1,0.036,0.128,0.0592,0.107,0.19,93.745,247560,4,1
38,0.353,0.749,1,-9.339,1,0.0411,0.0926,0.000553,0.166,0.574,85.983,276000,4,1
39,0.767,0.318,2,-8.932,1,0.067,0.11,1.79e-05,0.0483,0.536,119.43,259267,4,1
40,0.392,0.678,8,-7.27,0,0.0288,0.0556,0.0366,0.13,0.548,131.544,291000,4,1
